;Descripción ;Código;$ Instalacion;$ Abono;$ A. Riesgo;Observaciones
64;DETECTOR ANTIMASKING CABLEADO;DA;5700;50;62,5;"Ocupa 2 zonas en la central. Informar a Dpto. Técnico para compra de este equipo."
65;DETECTOR 360ª CABLEADO;DU;8050;50;62,5;Instalaciones mayores a 4 mts de altura, cotizar autoelevador.
66;DETECTOR VOLUMÉTRICO CABLEADO;D;1850;50;62,5;
67;DETECTOR VOLUMÉTRICO EXTERIOR CABLEADO;VX;9625;50;62,5;
68;DETECTOR VOLUMÉTRICO EXTERIOR INALÁMBRICO;VXI;8950;50;62,5;Cargar en Siebel MHIB de respaldo, sin cargo. DESCMIX.
69;DETECTOR LATERAL EXTERIOR CABLEADO;DL;12250;50;62,5;
70;DETECTOR LATERAL EXTERIOR INALÁMBRICO;DLI;9600;50;62,5;Cargar en Siebel MHIB de respaldo, sin cargo. DESCMIX.
71;DETECTOR ROTURA CRISTALES CABLEADO;RV;2250;50;62,5;
72;DETECTOR VOLUMÉTRICO SEMI EXTERIOR CABLEADO;DX;7600;50;62,5;
73;DETECTOR ANTIMASKING EXTERIOR CABLEADO;DAX;7250;50;62,5;"Ocupa 2 zonas en la central. Informar a Dpto. Técnico para compra de este equipo."
74;DETECTOR SÍSMICO CABLEADO;DS;3050;50;62,5;
75;DETECTOR MAGNÉTICO DE PORTON CABLEADO;MP;880;50;62,5;
76;DETECTOR MAGNÉTICO CABLEADO;M;605;50;62,5;
77;PULSADOR FIJO CABLEADO;P;550;50;62,5;
78;CONTROL REMOTO HIBRIDO;CRHIB;1650;50;62,5;
79;BACK UP CELULAR HIBRIDO;QHIB;6400;-;-;
80;EXPANSORA HIBRIDO;EXHIB;1500;-;-;"permite sumar 8 zonas mas si es cableado. Anexar una fuente ""FHIB"" cada 3 expansoras"
81;TAG HIBRIDO;TAGHIB;220;-;-;
82;RECEPTORA HIBRIDO;RHIB;4800;-;-;permite sumar 8 zonas mas  si es inalambrico
83;FUENTE HIBRIDO;FHIB;2800;-;-;se anexa con la expansora
84;CENTRAL HIBRIDA;CHIB;4950;-;-;(hasta 7 elementos)
85;TECLADO HIBRIDO;THIB;8800;-;-;
86;SIRENA INTERNA CABLEADA;S;660;-;-;No suma en el chasis.
87;SIRENA EXTERNA CABLEADA;SE;3400;-;-;No suma en el chasis.
88;CAMARA MANAGER INTERIOR WIFI;CMIWIFI;8470;370;462,5;SOLO PARA VENTAS E-COMMERCE
89;CAMARA MANAGER DOMO INTERIOR;CMIWIFI-PT;6600;370;462,5;SOLO PARA VENTAS E-COMMERCE
90;CAMARA MANAGER DOMO EXTERIOR;CMEWIFI;10285;370;462,5;SOLO PARA VENTAS E-COMMERCE
91;DVR de 4 CH (incluye Disco + monitor);DVR 4;17550;-;No se carga el item DR500GB porque ya esta incluido en el DVR;
92;DVR de 8 CH (incluye Disco + monitor);DVR 8;24250;-;No se carga el item DR500GB porque ya esta incluido;
93;DVR de 16 CH  (incluye Disco + monitor);DVR 16;27750;-;No se carga el item DR500GB porque ya esta incluido;
94;CÁMARA EXTERIOR;CE;5700;-;;
95;CÁMARA INFRARROJA SEMI EXTERIOR;CS;3940;-;;
96;ROUTER;RT;1550;-;;
97;CABLEADO ADICIONAL PARA CÁMARAS (cada 10 MTS);CADICC 10M;440;-;Cable UTP;
98;ILUMINADORES INFRARROJOS HASTA 30 MTS;ILINF;4125;-;;
99;CABLE VGA P/MONITOR ADICIONAL HASTA 20 MTS;CVGA 20M;2970;-;;
100;UPS LYONN;UPS LYONN;55110;;;
101;MICRÓFONO AMBIENTAL;MIC AM;1900;-;;
102;SOPORTE DE PARED PARA LCD;SLCD;1350;-;;
103;"MONITOR LCD 19""";LCD19;8300;-;;
